country,year,month,type,pct
PT,2021,1,ren,63.8967741935484
PT,2021,2,ren,96.7464285714286
PT,2021,3,ren,74.75161290322582
PT,2021,4,ren,51.96000000000001
PT,2021,5,ren,52.72258064516129
PT,2021,6,ren,48.74333333333333
PT,2021,7,ren,51.058064516129036
PT,2021,8,ren,39.687096774193556
PT,2021,9,ren,40.44666666666665
PT,2021,10,ren,42.77096774193547
PT,2021,11,ren,50.16666666666666
PT,2021,12,ren,63.69999999999999
PT,2021,1,solar,1.4225806451612908
PT,2021,2,solar,1.8321428571428569
PT,2021,3,solar,3.448387096774194
PT,2021,4,solar,3.42
PT,2021,5,solar,4.335483870967742
PT,2021,6,solar,4.620000000000001
PT,2021,7,solar,5.15483870967742
PT,2021,8,solar,5.361290322580647
PT,2021,9,solar,4.276666666666666
PT,2021,10,solar,3.790322580645161
PT,2021,11,solar,2.9433333333333334
PT,2021,12,solar,2.2
PT,2021,1,wind,30.093548387096778
PT,2021,2,wind,36.31071428571429
PT,2021,3,wind,26.52903225806452
PT,2021,4,wind,17.14666666666667
PT,2021,5,wind,27.57096774193549
PT,2021,6,wind,20.87333333333333
PT,2021,7,wind,22.88709677419355
PT,2021,8,wind,17.735483870967744
PT,2021,9,wind,19.946666666666665
PT,2021,10,wind,22.854838709677416
PT,2021,11,wind,29.13333333333333
PT,2021,12,wind,41.545161290322575
PT,2022,1,ren,50.90645161290325
PT,2022,2,ren,37.11071428571428
PT,2022,3,ren,55.816129032258054
PT,2022,4,ren,54.330000000000005
PT,2022,5,ren,44.316129032258054
PT,2022,6,ren,37.576666666666675
PT,2022,7,ren,34.27741935483871
PT,2022,8,ren,36.13225806451614
PT,2022,9,ren,44.443333333333335
PT,2022,10,ren,43.119354838709675
PT,2022,11,ren,53.99333333333334
PT,2022,12,ren,83.50322580645161
PT,2022,1,solar,3.141935483870967
PT,2022,2,solar,3.867857142857143
PT,2022,3,solar,3.7354838709677427
PT,2022,4,solar,6.03
PT,2022,5,solar,6.848387096774194
PT,2022,6,solar,6.8833333333333355
PT,2022,7,solar,6.790322580645162
PT,2022,8,solar,7.312903225806453
PT,2022,9,solar,6.236666666666666
PT,2022,10,solar,4.845161290322581
PT,2022,11,solar,3.5700000000000007
PT,2022,12,solar,2.5548387096774197
PT,2022,1,wind,27.803225806451618
PT,2022,2,wind,21.603571428571428
PT,2022,3,wind,33.49354838709677
PT,2022,4,wind,28.32333333333334
PT,2022,5,wind,21.048387096774192
PT,2022,6,wind,20.236666666666668
PT,2022,7,wind,17.18387096774193
PT,2022,8,wind,18.36129032258064
PT,2022,9,wind,23.193333333333335
PT,2022,10,wind,28.93870967741935
PT,2022,11,wind,30.036666666666672
PT,2022,12,wind,36.84838709677419
PT,2023,1,ren,84.10645161290323
PT,2023,2,ren,62.71785714285714
PT,2023,3,ren,56.07741935483871
PT,2023,4,ren,48.33000000000001
PT,2023,5,ren,49.138709677419364
PT,2023,6,ren,43.84333333333334
PT,2023,7,ren,43.80322580645161
PT,2023,8,ren,46.68387096774193
PT,2023,9,ren,41.70333333333333
PT,2023,10,ren,61.28709677419353
PT,2023,11,ren,80.41000000000001
PT,2023,12,ren,67.2451612903226
PT,2023,1,solar,3.87741935483871
PT,2023,2,solar,5.0464285714285735
PT,2023,3,solar,6.719354838709676
PT,2023,4,solar,9.83
PT,2023,5,solar,9.338709677419354
PT,2023,6,solar,9.146666666666667
PT,2023,7,solar,10.509677419354839
PT,2023,8,solar,10.358064516129032
PT,2023,9,solar,8.04
PT,2023,10,solar,5.887096774193548
PT,2023,11,solar,4.613333333333333
PT,2023,12,solar,3.993548387096774
PT,2023,1,wind,29.96451612903226
PT,2023,2,wind,27.574999999999992
PT,2023,3,wind,26.07741935483871
PT,2023,4,wind,22.506666666666668
PT,2023,5,wind,28.232258064516135
PT,2023,6,wind,16.416666666666664
PT,2023,7,wind,22.203225806451616
PT,2023,8,wind,24.51290322580645
PT,2023,9,wind,18.61333333333333
PT,2023,10,wind,30.98064516129032
PT,2023,11,wind,32.07333333333334
PT,2023,12,wind,25.229032258064517
PT,2024,1,ren,72.24838709677418
PT,2024,2,ren,82.56206896551724
PT,2024,3,ren,94.02580645161291
PT,2024,4,ren,87.85
PT,2024,5,ren,67.4
PT,2024,6,ren,54.14666666666667
PT,2024,7,ren,51.893548387096786
PT,2024,8,ren,53.62258064516128
PT,2024,9,ren,53.53333333333332
PT,2024,10,ren,65.60322580645162
PT,2024,11,ren,64.59
PT,2024,12,ren,51.270967741935486
PT,2024,1,solar,4.203225806451612
PT,2024,2,solar,6.1965517241379295
PT,2024,3,solar,7.170967741935482
PT,2024,4,solar,10.863333333333335
