country,year,month,type,pct
LU,2021,1,ren,16.270967741935483
LU,2021,2,ren,19.16785714285714
LU,2021,3,ren,20.06129032258065
LU,2021,4,ren,20.773333333333333
LU,2021,5,ren,24.21612903225806
LU,2021,6,ren,17.953333333333333
LU,2021,7,ren,19.154838709677417
LU,2021,8,ren,19.80322580645161
LU,2021,9,ren,14.876666666666669
LU,2021,10,ren,16.50322580645161
LU,2021,11,ren,13.516666666666667
LU,2021,12,ren,16.19354838709678
LU,2021,1,solar,0.4645161290322581
LU,2021,2,solar,1.9285714285714284
LU,2021,3,solar,3.6774193548387095
LU,2021,4,solar,5.829999999999999
LU,2021,5,solar,5.967741935483873
LU,2021,6,solar,6.590000000000001
LU,2021,7,solar,5.825806451612903
LU,2021,8,solar,5.774193548387097
LU,2021,9,solar,4.933333333333334
LU,2021,10,solar,2.8419354838709685
LU,2021,11,solar,1.3333333333333333
LU,2021,12,solar,0.8258064516129032
LU,2021,1,wind,6.925806451612904
LU,2021,2,wind,8.767857142857142
LU,2021,3,wind,7.529032258064515
LU,2021,4,wind,6.08
LU,2021,5,wind,8.667741935483871
LU,2021,6,wind,2.826666666666667
LU,2021,7,wind,4.387096774193548
LU,2021,8,wind,5.161290322580645
LU,2021,9,wind,2.9133333333333327
LU,2021,10,wind,7.512903225806453
LU,2021,11,wind,4.436666666666667
LU,2021,12,wind,6.522580645161288
LU,2022,1,ren,14.635483870967745
LU,2022,2,ren,22.857142857142854
LU,2022,3,ren,18.809677419354838
LU,2022,4,ren,21.939999999999998
LU,2022,5,ren,22.20322580645161
LU,2022,6,ren,20.35
LU,2022,7,ren,21.29354838709677
LU,2022,8,ren,20.570967741935487
LU,2022,9,ren,17.90333333333333
LU,2022,10,ren,18.838709677419356
LU,2022,11,ren,17.06
LU,2022,12,ren,17.83225806451613
LU,2022,1,solar,1.0193548387096774
LU,2022,2,solar,2.3857142857142852
LU,2022,3,solar,5.361290322580645
LU,2022,4,solar,6.980000000000002
LU,2022,5,solar,8.964516129032257
LU,2022,6,solar,8.863333333333333
LU,2022,7,solar,9.932258064516127
LU,2022,8,solar,8.8258064516129
LU,2022,9,solar,5.739999999999999
LU,2022,10,solar,3.5741935483870972
LU,2022,11,solar,1.6633333333333336
LU,2022,12,solar,0.9806451612903226
LU,2022,1,wind,5.464516129032258
LU,2022,2,wind,11.825
LU,2022,3,wind,5.783870967741934
LU,2022,4,wind,7.489999999999998
LU,2022,5,wind,4.748387096774193
LU,2022,6,wind,3.053333333333333
LU,2022,7,wind,3.129032258064516
LU,2022,8,wind,3.8612903225806448
LU,2022,9,wind,4.643333333333333
LU,2022,10,wind,6.6967741935483875
LU,2022,11,wind,8.943333333333333
LU,2022,12,wind,9.5
LU,2023,1,ren,20.551612903225806
LU,2023,2,ren,19.128571428571426
LU,2023,3,ren,23.745161290322585
LU,2023,4,ren,23.8
LU,2023,5,ren,25.029032258064515
LU,2023,6,ren,21.930000000000003
LU,2023,7,ren,22.874193548387098
LU,2023,8,ren,21.900000000000002
LU,2023,9,ren,19.53000000000001
LU,2023,10,ren,20.838709677419352
LU,2023,11,ren,23.83
LU,2023,12,ren,23.403225806451612
LU,2023,1,solar,0.8129032258064517
LU,2023,2,solar,3.2035714285714283
LU,2023,3,solar,3.8193548387096774
LU,2023,4,solar,6.913333333333335
LU,2023,5,solar,10.635483870967743
LU,2023,6,solar,11.76
LU,2023,7,solar,8.9
LU,2023,8,solar,8.412903225806453
LU,2023,9,solar,7.883333333333334
LU,2023,10,solar,3.664516129032258
LU,2023,11,solar,1.2666666666666668
LU,2023,12,solar,0.8903225806451611
LU,2023,1,wind,11.829032258064517
LU,2023,2,wind,9.882142857142856
