country,year,technology,capacity_gw
LU,2014,Nuclear,0.0
LU,2015,Nuclear,0.0
LU,2016,Nuclear,0.0
LU,2017,Nuclear,0.0
LU,2018,Nuclear,0.0
LU,2019,Nuclear,0.0
LU,2020,Nuclear,0.0
LU,2021,Nuclear,0.0
LU,2022,Nuclear,0.0
LU,2023,Nuclear,0.0
LU,2024,Nuclear,0.0
LU,2025,Nuclear,0.0
LU,2014,Biomass,0.0
LU,2015,Biomass,0.0
LU,2016,Biomass,0.0
LU,2017,Biomass,0.0
LU,2018,Biomass,0.03
LU,2019,Biomass,0.05
LU,2020,Biomass,0.05
LU,2021,Biomass,0.05
LU,2022,Biomass,0.05
LU,2023,Biomass,0.08
LU,2024,Biomass,0.08
LU,2025,Biomass,0.08
LU,2014,Fossil brown coal / lignite,0.0
LU,2015,Fossil brown coal / lignite,0.0
LU,2016,Fossil brown coal / lignite,0.0
LU,2017,Fossil brown coal / lignite,0.0
LU,2018,Fossil brown coal / lignite,0.0
LU,2019,Fossil brown coal / lignite,0.0
LU,2020,Fossil brown coal / lignite,0.0
LU,2021,Fossil brown coal / lignite,0.0
LU,2022,Fossil brown coal / lignite,0.0
LU,2023,Fossil brown coal / lignite,0.0
LU,2024,Fossil brown coal / lignite,0.0
LU,2025,Fossil brown coal / lignite,0.0
LU,2014,Fossil coal-derived gas,0.0
LU,2015,Fossil coal-derived gas,0.0
LU,2016,Fossil coal-derived gas,0.0
LU,2017,Fossil coal-derived gas,0.0
LU,2018,Fossil coal-derived gas,0.0
LU,2019,Fossil coal-derived gas,0.0
LU,2020,Fossil coal-derived gas,0.0
LU,2021,Fossil coal-derived gas,0.0
LU,2022,Fossil coal-derived gas,0.0
LU,2023,Fossil coal-derived gas,0.0
LU,2024,Fossil coal-derived gas,0.0
LU,2025,Fossil coal-derived gas,0.0
LU,2014,Fossil hard coal,0.0
LU,2015,Fossil hard coal,0.0
LU,2016,Fossil hard coal,0.0
LU,2017,Fossil hard coal,0.0
LU,2018,Fossil hard coal,0.0
LU,2019,Fossil hard coal,0.0
LU,2020,Fossil hard coal,0.0
LU,2021,Fossil hard coal,0.0
LU,2022,Fossil hard coal,0.0
LU,2023,Fossil hard coal,0.0
LU,2024,Fossil hard coal,0.0
LU,2025,Fossil hard coal,0.0
LU,2014,Fossil oil,0.0
LU,2015,Fossil oil,0.0
LU,2016,Fossil oil,0.0
LU,2017,Fossil oil,0.0
LU,2018,Fossil oil,0.0
LU,2019,Fossil oil,0.0
LU,2020,Fossil oil,0.0
LU,2021,Fossil oil,0.0
LU,2022,Fossil oil,0.0
LU,2023,Fossil oil,0.0
LU,2024,Fossil oil,0.0
LU,2025,Fossil oil,0.0
LU,2014,Fossil oil shale,0.0
LU,2015,Fossil oil shale,0.0
LU,2016,Fossil oil shale,0.0
LU,2017,Fossil oil shale,0.0
LU,2018,Fossil oil shale,0.0
LU,2019,Fossil oil shale,0.0
LU,2020,Fossil oil shale,0.0
LU,2021,Fossil oil shale,0.0
LU,2022,Fossil oil shale,0.0
LU,2023,Fossil oil shale,0.0
LU,2024,Fossil oil shale,0.0
LU,2025,Fossil oil shale,0.0
LU,2014,Fossil peat,0.0
LU,2015,Fossil peat,0.0
LU,2016,Fossil peat,0.0
LU,2017,Fossil peat,0.0
LU,2018,Fossil peat,0.0
LU,2019,Fossil peat,0.0
LU,2020,Fossil peat,0.0
LU,2021,Fossil peat,0.0
LU,2022,Fossil peat,0.0
LU,2023,Fossil peat,0.0
LU,2024,Fossil peat,0.0
LU,2025,Fossil peat,0.0
LU,2014,Fossil gas,0.07
LU,2015,Fossil gas,0.07
LU,2016,Fossil gas,0.08
LU,2017,Fossil gas,0.08
LU,2018,Fossil gas,0.08
LU,2019,Fossil gas,0.08
LU,2020,Fossil gas,0.1
LU,2021,Fossil gas,0.1
LU,2022,Fossil gas,0.07
LU,2023,Fossil gas,0.07
LU,2024,Fossil gas,0.07
LU,2025,Fossil gas,0.06
